label,nrow,ncol
CA,8,2
US,9,2
MX,10,2
GT,11,2
SV,12,2
BZ,11,3
HN,12,3
NI,13,3
CR,13,4
CU,10,5
JM,11,4
PA,15,5
BS,10,6
HT,11,6
CO,16,6
EC,17,6
PE,18,6
DO,11,7
KN,12,7
VE,16,7
GY,17,7
BO,18,7
PY,19,7
CL,20,7
AR,21,7
AG,11,8
LC,12,8
VC,13,8
DM,14,8
GD,15,8
TT,16,8
SR,18,8
UY,19,8
IS,4,9
BB,13,9
BR,18,9
IE,5,11
PT,7,11
CV,16,11
GB,5,12
ES,7,12
MR,13,12
GW,14,12
GN,15,12
ST,17,12
FR,6,13
AD,7,13
KR,8,26
CN,7,25
JP,7,28
MN,6,26
FI,2,18
NZ,22,27
MT,9,13
MA,12,13
GM,13,13
SL,14,13
LR,15,13
CI,16,13
NL,5,14
BE,6,14
LU,7,14
IT,8,14
DZ,12,14
SN,13,14
BF,14,14
GH,15,14
NG,16,14
GQ,17,14
AO,18,14
DK,4,15
DE,5,15
CH,6,15
SI,7,15
HR,8,15
TN,12,15
ML,13,15
TD,14,15
TG,15,15
CM,16,15
CG,17,15
GA,18,15
ZM,19,15
NO,2,16
PL,5,16
CZ,6,16
AT,7,16
BA,8,16
ME,9,16
LY,12,16
NE,13,16
SS,14,16
BJ,15,16
CD,16,16
BI,17,16
MW,18,16
BW,19,16
NA,20,16
SE,2,17
LT,5,17
SK,6,17
HU,7,17
RS,8,17
AL,9,17
GR,10,17
EG,12,17
SD,13,17
ER,14,17
CF,15,17
UG,16,17
RW,17,17
MZ,18,17
ZW,19,17
SZ,20,17
ZA,21,17
EE,3,18
LV,4,18
BY,5,18
UA,6,18
RO,7,18
BG,8,18
MK,9,18
CY,11,18
DJ,14,18
ET,15,18
KE,16,18
TZ,17,18
LS,20,18
MD,6,19
TR,8,19
JO,9,19
LB,10,19
IL,11,19
PS,12,19
SO,15,19
SC,18,19
KM,19,19
SY,8,20
KW,9,20
SA,10,20
QA,11,20
YE,12,20
MG,20,20
MU,21,20
AM,7,21
IQ,8,21
IR,9,21
BH,10,21
AE,11,21
OM,12,21
RU,5,22
GE,7,22
AZ,8,22
PK,9,22
MV,14,22
UZ,7,23
TM,8,23
AF,9,23
IN,10,23
LK,12,23
KG,7,24
TJ,8,24
BD,9,24
NP,10,24
KZ,6,25
BT,8,25
MM,9,25
TH,11,25
MY,12,25
SG,14,25
AU,20,25
KP,7,26
LA,10,26
KH,11,26
BN,13,26
ID,14,26
TL,15,26
PW,17,26
PG,18,26
VN,10,27
PH,12,27
MH,16,27
FM,17,27
NR,18,27
SB,19,27
VU,20,27
KI,18,28
TV,19,28
FJ,20,28
CK,21,28
WS,19,29
TO,20,29
